#group,name,redirector,dataset,nevts,xsec
signal,GluGluToAToZhToLLTauTauM225,/cmsxrootd-site1.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M225_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,555996,0.001
signal,GluGluToAToZhToLLTauTauM250,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M250_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,538382,0.001
signal,GluGluToAToZhToLLTauTauM275,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M275_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,526751,0.001
signal,GluGluToAToZhToLLTauTauM300,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M300_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,509152,0.001
signal,GluGluToAToZhToLLTauTauM325,/cmsxrootd-site1.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M325_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,494912,0.001
signal,GluGluToAToZhToLLTauTauM350,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M350_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,481929,0.001
signal,GluGluToAToZhToLLTauTauM375,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M375_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,477941,0.001
signal,GluGluToAToZhToLLTauTauM400,/cmsxrootd-site1.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,472444,0.001
signal,GluGluToAToZhToLLTauTauM450,/cmsxrootd-site1.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M450_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,462667,0.001
signal,GluGluToAToZhToLLTauTauM500,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,456893,0.001
signal,GluGluToAToZhToLLTauTauM600,/cmsxrootd-site.fnal.gov/,/GluGluToAToZhToLLTauTau_M600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,441968,0.001
signal,GluGluToAToZhToLLTauTauM700,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M700_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,521562,0.001
signal,GluGluToAToZhToLLTauTauM750,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M750_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,516679,0.001
signal,GluGluToAToZhToLLTauTauM800,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,510795,0.001
signal,GluGluToAToZhToLLTauTauM900,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M900_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,504022,0.001
signal,GluGluToAToZhToLLTauTauM1000,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M1000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,497422,0.001
signal,GluGluToAToZhToLLTauTauM1200,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,486734,0.001
signal,GluGluToAToZhToLLTauTauM1400,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M1400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,474273,0.001
signal,GluGluToAToZhToLLTauTauM1600,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M1600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,464788,0.001
signal,GluGluToAToZhToLLTauTauM1800,/cmsxrootd-site2.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M1800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,464217,0.001
signal,GluGluToAToZhToLLTauTauM2000,/cmsxrootd-site3.fnal.gov:1093/,/GluGluToAToZhToLLTauTau_M2000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,455639,0.001
signal,BBAToZhToLLTauTauM225,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M225_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,490000,0.001
signal,BBAToZhToLLTauTauM250,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M250_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,491000,0.001
signal,BBAToZhToLLTauTauM275,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M275_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,494000,0.001
signal,BBAToZhToLLTauTauM300,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M300_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,496000,0.001
signal,BBAToZhToLLTauTauM325,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M325_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM350,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M350_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,494000,0.001
signal,BBAToZhToLLTauTauM375,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M375_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,497000,0.001
signal,BBAToZhToLLTauTauM400,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,497000,0.001
signal,BBAToZhToLLTauTauM450,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M450_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,496000,0.001
signal,BBAToZhToLLTauTauM500,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M500_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,482000,0.001
signal,BBAToZhToLLTauTauM600,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,488000,0.001
signal,BBAToZhToLLTauTauM700,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M700_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,488000,0.001
signal,BBAToZhToLLTauTauM750,/cmsxrootd-site2.fnal.gov:1093/,/BBAToZhToLLTauTau_M750_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,494000,0.001
signal,BBAToZhToLLTauTauM800,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,464000,0.001
signal,BBAToZhToLLTauTauM900,/cmsxrootd-site2.fnal.gov:1093/,/BBAToZhToLLTauTau_M900_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,491000,0.001
signal,BBAToZhToLLTauTauM1000,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M1000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,474000,0.001
signal,BBAToZhToLLTauTauM1200,/cmsxrootd-site3.fnal.gov:1093/,/BBAToZhToLLTauTau_M1200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,500000,0.001
signal,BBAToZhToLLTauTauM1400,/cmsxrootd-site2.fnal.gov:1093/,/BBAToZhToLLTauTau_M1400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,464000,0.001
signal,BBAToZhToLLTauTauM1600,/cmsxrootd-site2.fnal.gov:1093/,/BBAToZhToLLTauTau_M1600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,476000,0.001
signal,BBAToZhToLLTauTauM1800,/cmsxrootd-site1.fnal.gov:1093/,/BBAToZhToLLTauTau_M1800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,458000,0.001
signal,BBAToZhToLLTauTauM2000,/cmsxrootd-site.fnal.gov/,/BBAToZhToLLTauTau_M2000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,464000,0.001
